state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Bihar,Khagaria,223.0,1677533,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,644.8,2506.8,2224.1,1561.3,Dedicated Freight Corridor (DFC),945.4,37.7,210.0,9.37
Bihar,Kishanganj,210.0,1692838,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,555.8,2180.0,2061.2,1448.3,Dedicated Freight Corridor (DFC),731.6,33.6,210.0,8.06
Bihar,Lakhisarai,227.0,961204,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,546.7,2146.7,2044.5,1436.8,Dedicated Freight Corridor (DFC),710.0,33.1,210.0,7.95
Bihar,Madhepura,213.0,2004898,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,569.8,2231.7,1779.8,1159.1,Dedicated Freight Corridor (DFC),1072.6,48.1,210.0,8.31
Bihar,Madhubani,207.0,4584705,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,654.8,2543.4,2242.4,1574.0,Dedicated Freight Corridor (DFC),969.4,38.1,210.0,9.51
Bihar,Munger,226.0,1374222,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,501.7,1981.7,1962.2,1379.6,Dedicated Freight Corridor (DFC),602.1,30.4,210.0,7.32
Bihar,Muzaffarpur,216.0,4827227,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,741.4,2860.6,2356.9,1639.9,Dedicated Freight Corridor (DFC),1220.7,42.7,210.0,10.68
Bihar,Nalanda,229.0,2907051,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,754.0,2906.9,2424.0,1700.0,Dedicated Freight Corridor (DFC),1206.9,41.5,210.0,10.87
Bihar,Nawada,237.0,2210826,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,792.5,3048.5,2494.5,1748.9,Dedicated Freight Corridor (DFC),1299.6,42.6,210.0,11.46
Bihar,Pashchim Champaran,203.0,3980888,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,897.9,3435.3,2352.7,1548.0,Dedicated Freight Corridor (DFC),1887.3,54.9,210.0,12.99
Bihar,Patna,230.0,5784679,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,696.2,2695.2,2318.2,1626.6,Dedicated Freight Corridor (DFC),1068.6,39.6,210.0,10.09
Bihar,Purba Champaran,204.0,5146506,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,815.8,3133.7,2191.1,1432.4,Dedicated Freight Corridor (DFC),1701.3,54.3,210.0,11.76
Bihar,Purnia,211.0,3251889,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,484.8,1919.8,1809.4,1236.3,Dedicated Freight Corridor (DFC),683.5,35.6,210.0,7.09
Bihar,Rohtas,234.0,2984513,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,688.0,2664.3,2303.2,1616.2,Dedicated Freight Corridor (DFC),1048.1,39.3,210.0,9.86
Bihar,Saharsa,214.0,1883790,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,574.4,2248.5,1808.0,1184.7,Dedicated Freight Corridor (DFC),1063.9,47.3,210.0,8.37
Bihar,Samastipur,221.0,3912435,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,621.0,2419.7,1900.0,1250.5,Dedicated Freight Corridor (DFC),1169.2,48.3,210.0,9.07
Bihar,Saran,219.0,3958308,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,746.8,2881.7,2410.8,1690.9,Dedicated Freight Corridor (DFC),1190.9,41.3,210.0,10.93
Bihar,Sheikhpura,228.0,662779,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,726.2,2805.1,2373.1,1664.7,Dedicated Freight Corridor (DFC),1140.4,40.7,210.0,10.5
Bihar,Sheohar,205.0,683510,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,784.9,3020.4,2480.6,1739.2,Dedicated Freight Corridor (DFC),1281.2,42.4,210.0,11.33
Bihar,Sitamarhi,206.0,3260983,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,790.5,3041.4,2490.8,1746.4,Dedicated Freight Corridor (DFC),1295.1,42.6,210.0,11.47
Bihar,Siwan,218.0,3346257,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,917.0,3504.7,2722.4,1907.0,Dedicated Freight Corridor (DFC),1597.7,45.6,210.0,13.17
Bihar,Supaul,208.0,2205224,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,590.5,2307.3,1912.2,1279.9,Dedicated Freight Corridor (DFC),1027.4,44.5,210.0,8.56
Bihar,Vaishali,220.0,3509985,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,785.9,3024.5,2482.4,1740.5,Dedicated Freight Corridor (DFC),1284.0,42.5,210.0,11.4
Chandigarh,CHANDIGARH,55.0,1055450,False,Deendayal Port (Kandla),1225.0,4619.1,3172.9,,Conventional Rail,1446.1,31.3,380.0,15.49
Chhattisgarh,BALOD,645.0,1319276,False,Paradip Port,848.8,3255.1,2597.6,,Conventional Rail,657.6,20.2,380.0,12.28
Chhattisgarh,BALODA BAZAR,646.0,1299581,False,Paradip Port,822.5,3159.2,2549.4,,Conventional Rail,609.8,19.3,380.0,11.98
Chhattisgarh,BALRAMPUR,642.0,949237,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,678.2,2629.2,2285.3,,Conventional Rail,343.9,13.1,380.0,9.83
