census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
192,Uttar Pradesh,Mau,2205968,1114709,1091259,1363044,696747,145225,212343,256784,209493,150462,1402738,467343,323260
193,Uttar Pradesh,Ballia,3239774,1672902,1566872,1963590,1019483,206228,384432,409484,323582,200434,1975934,724362,502628
194,Uttar Pradesh,Jaunpur,4494204,2220465,2273739,2731677,1437375,540762,436792,520111,353996,256398,2826453,927026,689979
195,Uttar Pradesh,Ghazipur,3620268,1855075,1765193,2197549,1204602,368943,435934,449909,334003,186306,2234593,774130,556273
196,Uttar Pradesh,Chandauli,1952756,1017905,934851,1174606,652543,125980,248674,196240,135962,88299,1222695,437000,287767
197,Uttar Pradesh,Varanasi,3676841,1921857,1754984,2403903,1220708,197952,182146,447926,351391,281652,2260457,856070,531549
198,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,470608,94402,104419,167524,120944,86533,1032294,331743,209920
199,Uttar Pradesh,Mirzapur,2496970,1312302,1184668,1428683,881996,178132,334372,232189,177109,140668,1590528,552177,346773
200,Uttar Pradesh,Sonbhadra,1862559,971344,891215,985708,730399,141007,371261,120822,82614,63846,1203938,418914,237866
201,Uttar Pradesh,Etah,1774480,947339,827141,1055202,545984,242396,131779,178434,119665,88607,1149372,383707,237427
202,Uttar Pradesh,Kanshiram Nagar,1436719,764165,672554,724850,472765,229088,107094,108558,61662,48079,946320,301252,183434
203,Bihar,Pashchim Champaran,3935042,2061110,1873932,1759481,1478947,217539,998833,159563,98732,70669,2544205,888205,497793
204,Bihar,Purba Champaran,5099371,2681209,2418162,2276957,1737539,349032,1057417,241118,121594,68781,3316422,1122340,648009
205,Bihar,Sheohar,656246,346673,309573,283698,216372,38727,136334,25657,16031,10091,421241,139909,93398
206,Bihar,Sitamarhi,3423574,1803252,1620322,1436794,1114583,216012,635907,136500,92783,70549,2206340,739982,449035
207,Bihar,Madhubani,4487379,2329313,2158066,2155338,1636938,396880,940642,303114,170563,137780,2860455,1009424,611899
208,Bihar,Supaul,2229076,1155283,1073793,1033283,877682,201882,554271,99530,69665,45726,1453438,495020,277610
209,Bihar,Araria,2811569,1463333,1348236,1195768,1069893,222913,691947,112955,68177,39627,1872943,612012,324091
210,Bihar,Kishanganj,1690400,866970,823430,745056,529064,107862,321867,42778,25989,15386,1139615,361114,188447
211,Bihar,Purnia,3264619,1699370,1565249,1332326,1143318,197424,745015,119259,83226,59996,2155512,696556,372692
212,Bihar,Katihar,3071029,1600430,1470599,1280190,1013566,168857,672291,133811,88498,57114,2054202,660403,353483
213,Bihar,Madhepura,2001762,1047559,954203,834577,777546,190809,484062,99437,79891,44955,1311771,444235,242382
214,Bihar,Saharsa,1900661,997174,903487,804996,649898,164600,356833,90182,64560,47051,1249692,415863,233870
215,Bihar,Darbhanga,3937385,2059949,1877436,1816634,1223640,236673,642115,224622,152540,129597,2535344,865971,529314
216,Bihar,Muzaffarpur,4801062,2527497,2273565,2509232,1547586,273436,769001,299475,194920,138916,3016735,1079189,697108
217,Bihar,Gopalganj,2562012,1267666,1294346,1382998,728201,208959,338666,223776,123249,79109,1642807,546202,370662
218,Bihar,Siwan,3330464,1675090,1655374,1930175,932416,264928,376344,355277,186817,119164,2115448,713597,498299
219,Bihar,Saran,3951862,2022821,1929041,2157454,1040231,232097,493461,361171,213251,148065,2516115,847031,585386
220,Bihar,Vaishali,3495021,1844535,1650486,1926740,1060344,255017,502637,291392,178320,124448,2176701,759132,486032
221,Bihar,Samastipur,4261566,2230003,2031563,2142880,1343400,299039,721629,284082,186153,129933,2766930,913339,568812
222,Bihar,Begusarai,2970541,1567660,1402881,1548673,938182,146035,430870,207136,144783,101836,1951688,644874,369996
223,Bihar,Khagaria,1666886,883786,783100,768028,560805,104517,325731,100555,65931,38697,1114645,355531,195796
224,Bihar,Bhagalpur,3037766,1615663,1422103,1573066,983528,135161,475228,247079,154643,118843,1952879,674660,397654
225,Bihar,Banka,2034763,1067140,967623,965321,771080,172440,462614,120653,63103,35767,1291235,462080,278863
226,Bihar,Munger,1367765,729041,638724,801817,426658,45953,196449,147152,101907,64469,860147,316713,188319
227,Bihar,Lakhisarai,1000912,526345,474567,507270,326576,78532,159970,85807,48001,27261,650642,218840,130655
228,Bihar,Sheikhpura,636342,329743,306599,328676,224655,54511,109696,52860,33856,19676,413475,136898,85045
229,Bihar,Nalanda,2877653,1497060,1380593,1519933,1045420,221240,534021,274556,177358,133032,1829128,642197,403129
230,Bihar,Patna,5838465,3078512,2759953,3459679,1881886,271216,658203,698351,463361,452340,3626564,1382654,815638
